Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
21/12/2021,"2 ERIN TERRACE, CURRAGH RD, TURNERS CROSS",Cork,T12W5H0,"€208,750.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2021,"1 MARIAN TERRACE, MARKET SQ, KINSALE",Cork,P17P718,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2021,"9 GOLDENBRIDGE GARDENS, INCHICORE, DUBLIN 8",Dublin,D08W9TN,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2021,"MAIN ST, LISCARROLL, MALLOW",Cork,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2021,"9 FRIARY AVE, THE STEEPLES, CASHEL",Tipperary,E25F683,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2021,"DUNMOYLAN, SHANAGOLDEN, CO LIMERICK",Limerick,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2021,"AUGHAVAS, CO LEITRIM",Leitrim,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2021,"KNOCKATEMPLE, BALLYVARY, CASTLEBAR",Mayo,,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2021,"SALLYPARK, LATTERAGH, NENAGH",Tipperary,,"€182,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/06/2021,"26 FAIR STREET, MALLOW, COUNTY CORK",Cork,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2021,"6 ARDMONIEL HEIGHTS, KILLORGLIN, KERRY",Kerry,V93H3N0,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2021,"27 RELDARE, MODEL FARM ROAD, CORK",Cork,,"€533,039.00",No,Yes,New Dwelling house /Apartment,
30/07/2021,"APT 10, BISSETTS LOFT, STRAND ST",Dublin,,"€372,500.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2021,"Apartment 314, Block 2, The Elm",Dublin,,"€555,000.00",No,Yes,New Dwelling house /Apartment,
23/11/2021,"9 LIFFEY DOWNS, LIFFEY VALLEY PARK, LUCAN",Dublin,K78E309,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2021,"APT 3, HANOVER SQ, KENNEDY AVE",Carlow,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2021,"12 THE COURTYARD, FLOWER HILL, NAVAN",Meath,C15W658,"€151,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2021,"29 Brescula Close, Bellingham, Portlaoise",Laois,,"€195,382.00",No,Yes,New Dwelling house /Apartment,
06/04/2021,"16 DEXTER TERRACE, RANELAGH, DUBLIN 6",Dublin,D06D3R9,"€590,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2021,"64 Mount William, Williamstown, Waterford",Waterford,,"€189,462.55",Yes,Yes,New Dwelling house /Apartment,
21/10/2021,"MONEMOHILL, BALLYHAHILL, LIMERICK",Limerick,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/03/2021,"41 Belltree Avenue, Belltree, Clongriffin",Dublin,,"€374,449.33",No,Yes,New Dwelling house /Apartment,
01/07/2021,"DOON, AHASCRAGH, BALLINASLOE",Galway,,"€136,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2021,"295 LOWER KIMMAGE ROAD, DUBLIN 6W",Dublin,D6WEV91,"€447,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2021,"APT 7, SUMMERFIELD, IRISHTOWN RD DUBLIN 4",Dublin,D04A096,"€483,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2021,"ALLIHIES VILLAGE, BEARA, CORK",Cork,,"€78,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2021,"DRUMHURT, KILL, COOTEHILL",Cavan,H16PW06,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2021,"24 MARY ST SOUTH, DUNDALK, LOUTH",Louth,A91T0A2,"€122,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/07/2021,"3 WILLOW LAWN, CLONMEL, TIPPERARY",Tipperary,E91CX89,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2021,"27 CHESTNUT DR, MIDLETON, CORK",Cork,P25YK38,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2021,"85 RATHBROUGHAN PARK, SLIGO",Sligo,,"€106,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2021,"64 BUTTERFIELD PARK, RATHFARNHAM, DUBLIN 14",Dublin,D14V838,"€747,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2021,"17 Moyglare Grove, Mariavilla, Maynooth",Kildare,,"€405,286.00",No,Yes,New Dwelling house /Apartment,
17/12/2021,"83 Willouise, Sherlockstown Road, Sallins",Kildare,,"€418,502.00",No,Yes,New Dwelling house /Apartment,
14/10/2021,"47 PARK RIDGE, GRANGE RATH, DROGHEDA",Meath,A92NW08,"€161,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2021,"27-32 Mount Eagle Square, Block B, Kilgobbin Road",Dublin,,"€2,058,400.88",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
14/07/2021,"2 Lyreen Lodge, Dunboyne Road, Maynooth",Kildare,,"€387,665.19",No,Yes,New Dwelling house /Apartment,
21/01/2021,"5 GRAYDON WAY, GRAYDON, NEWCASTLE",Dublin,,"€312,775.00",No,Yes,New Dwelling house /Apartment,
03/02/2021,"18(E) SOUTH LOTTS ROAD, RINGSEND, DUBLIN 4",Dublin,,"€675,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2021,"12 Forgelands, Old Forge Road, Enniscorthy",Wexford,,"€183,466.96",No,Yes,New Dwelling house /Apartment,
16/11/2021,"47 CNOC CAISLEAN, BALLYGUNNER, WATERFORD",Waterford,X91RW0Y,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2021,"11  The Mews, Elmbury, Carrigane",Cork,,"€266,409.00",No,Yes,New Dwelling house /Apartment,
21/10/2021,"MULLAGHARLIN, DUNDALK, LOUTH",Louth,,"€675,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2021,"10 Carlinn Gardens, Mullaharlin Road, Dundalk",Louth,,"€242,291.00",No,Yes,New Dwelling house /Apartment,
26/11/2021,"BALLYNAMONA, SHANAGARRY, MIDLETON",Cork,P25TF38,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2021,"14 BRACKEN HILL, BLACKGLEN RD, SANDYFORD DUBLIN 18",Dublin,D18DK15,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2021,"14 MARKET SQ, PORTLAW, WATERFORD",Waterford,X91K3V5,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2021,"44 GLENCLOY RD, WHITEHALL, DUBLIN 9",Dublin,D09C566,"€372,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2021,"ST JOSEPHS, THE WARREN, BOYLE",Roscommon,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2021,"MAIN ST, BALLYLANDERS, KILMALLOCK",Limerick,V35W212,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2021,"14 THE MEADOWS, BARRYS BOREEN, FERMOY",Cork,,"€293,110.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2021,"29 WHITE HORSE LANE, TURLOUGH RD, CASTLEBAR",Mayo,F23EH11,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2021,"SESSIOGHNEILL, BALLYBOFEY, DONEGAL",Donegal,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2021,"13 BEECHDALE WAY, BLESSINGTON, WICKLOW",Wicklow,W91X8K3,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2021,"18 THE MEADOWS, BALLAGHADERREEN, CO ROSCOMMON",Roscommon,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2021,"33 UPPER GLENAGEARY RD, GLENAGEARY, DUBLIN",Dublin,A96F2V9,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2021,"UNIT 1-10, 3 MORHAMPTON RD, DONNYBROOK",Dublin,D04Y062,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2021,"CHAPELTOWN, VALENTIA ISLAND, CO KERRY",Kerry,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2021,"ABBEY HOUSE, SMITHS RD, CHARLEVILLE",Cork,,"€242,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2021,"33 Taylor Hill Grange, Balbriggan",Dublin,,"€171,484.15",No,Yes,New Dwelling house /Apartment,
22/09/2021,"64 Clay Farm Drive, Clay Farm, Leopardstown",Dublin,,"€440,528.63",No,Yes,New Dwelling house /Apartment,
25/08/2021,"MARYVILLE HOUSE, SLIEVE, CLONDRA",Longford,N39DH34,"€83,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2021,"16 ANNFIELD LAWN, CASTLEKNOCK, DUBLIN 15",Dublin,D15N5R2,"€418,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2021,"3 Hammerstone Estate Hammerstone, Barberstown Road, Straffan",Kildare,W23K6PD,"€440,528.63",No,Yes,New Dwelling house /Apartment,
29/11/2021,"5 ASHMOUNT, CHURCH ROAD, RAHEEN",Limerick,V94YC6E,"€312,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2021,"8 MELROSE AVE, FAIRVIEW, DUBLIN 3",Dublin,D03C9T0,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2021,"APT 2, ST JOHNS COURT, CATHEDRAL PLACE",Limerick,,"€86,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2021,"19 Racecourse Park, The Coast, Baldoyle",Dublin,,"€361,233.47",No,Yes,New Dwelling house /Apartment,
16/11/2021,"31 KILKEE HOUSE, BLOCK A CLAREVILLAGE, MALAHIDE RD DUBLIN 17",Dublin,D17Y049,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2021,"8 SORBONNE GREEN, LIMERICK, LIMERICK",Limerick,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2021,"51 Rampart Road, Cathedral View, Dundalk",Louth,,"€210,000.00",No,Yes,New Dwelling house /Apartment,
05/02/2021,"7 Waterside Green, Waterside, Swords Road",Dublin,,"€250,000.00",No,Yes,New Dwelling house /Apartment,
13/08/2021,"5 GLENDOHER RD, BALLYBODEN, DUBLIN 16",Dublin,D16X7X0,"€790,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2021,"10 RIVERSDALE GROVE, PALMERSTOWN VILLAGE, DUBLIN 20",Dublin,D20V267,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2021,"3 MAPLE COURT, THOMAS KENT ST, COBH",Cork,P24WF29,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2021,"DOOAGH, ACHILL, MAYO",Mayo,,"€72,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2021,"71 ST PETERS PLACE, ARKLOW, WICKLOW",Wicklow,,"€220,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/07/2021,"30 WALTHAM ABBEY, OLD QUARTER, BALLINCOLLIG",Cork,P31DT28,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2021,"34 The Close, Ledwill Park, Kilcock",Kildare,,"€275,330.00",No,Yes,New Dwelling house /Apartment,
20/07/2021,"20 ALDERWOOD DR, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin,D24TNR0,"€283,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2021,"1 FERNS DALE, FERNS BRIDGE, MONASTEREVIN",Kildare,,"€229,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2021,"DOONAN, DONEGAL",Donegal,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2021,"45 KNOCKBRACKDOWNS, DROGHEDA, LOUTH",Louth,A92RCD8,"€186,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2021,"100 SHREWSBURY PARK, BALLSBRIDGE, DUBLIN 4",Dublin,,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2021,"KILMORE, CLOUGHANE, TRALEE",Kerry,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2021,"15 CHRISTENDOM AVENUE, FERRYBANK, COUNTY KILKENNY",Kilkenny,X91H97N,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2021,"CARLAND LOWER, KERRYKEEL, DONEGAL",Donegal,F92Y438,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2021,"54 THE HAWTHORNS, CARRAROE, CO SLIGO",Sligo,F91Y7FE,"€117,004.00",No,Yes,New Dwelling house /Apartment,
19/04/2021,"3 Slevinagee, Golf Links Road, Roscommon",Roscommon,,"€299,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2021,"FARRANREDMOND, DINGLE, KERRY",Kerry,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2021,"GORTFREE, TOURMAKEADY, COUNTY MAYO",Mayo,F12VX72,"€136,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2021,"10 Rose Lawn  Janeville  Cork Road, Carrigaline, Cork",Cork,,"€315,000.00",No,Yes,New Dwelling house /Apartment,
06/09/2021,"66 HAMMERSTONE, BARBERSTOWN ROAD, STRAFFAN",Kildare,,"€378,855.00",No,Yes,New Dwelling house /Apartment,
06/12/2021,"Apartment 16, Bay View, Bayside Square",Dublin,,"€300,000.00",No,Yes,New Dwelling house /Apartment,
10/09/2021,"73 CHURCHILL, CHURCH RD, TULLAMORE",Offaly,R35Y4N8,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/01/2021,"75 LYNN HEIGHTS, MULLINGAR, CO. WESTMEATH",Westmeath,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2021,"ASHLEY HOUSE, TOMNAFINCHOGUE, ENNISCORTHY",Wexford,Y21FP78,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2021,"SHANAVALLY, RIVERSTICK, CORK",Cork,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2021,"CASTLEGALE, 21 ARDFALLEN ESTATE, DOUGLAS RD",Cork,T12N7T3,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2021,"APT 45, SHANDON COURT, YELLOW RD UPPER",Waterford,X91E1CY,"€111,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2021,"52 AN TSEAN DUN, ROSLEVAN, ENNIS",Clare,V95H2ND,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2021,"15 The Barrington, Block 6A   Level 3, Lansdowne Place",Dublin,,"€1,035,242.29",No,Yes,New Dwelling house /Apartment,
29/10/2021,"13 Harristown Drive, Kildangan, Co. Kildare",Kildare,,"€339,207.05",No,Yes,New Dwelling house /Apartment,
21/10/2021,"APT 3    42 BRIDE STREET, LOUGHREA, CO GALWAY",Galway,,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2021,"21 THE VIEW, OLDBRISGE MANOR, DROGHEDA",Meath,A92HE2Y,"€281,938.00",No,Yes,New Dwelling house /Apartment,
04/01/2021,"LISIEUX HOUSE, TURBOTSTOWN, COOLE",Westmeath,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2021,"14 PALMYRA PARK, GALWAY, GALWAY",Galway,H91E5VY,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2021,"APT 313 RIVERDELL, CENTAUR ST, CARLOW",Carlow,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2021,"10 MOUNTTOWN VILLAS, MOUNTTOWN LOWER, GLENAGEARY",Dublin,,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2021,"27 CARRAIG MOR, LOUGHREA, GALWAY",Galway,H62DA33,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/01/2021,"8 FAUGHART TERRACE, ST MARYS RD, DUNDALK",Louth,,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/06/2021,"KILGARVE, CASRTLEREA, COUNTY ROSCOMMON",Roscommon,,"€25,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/07/2021,"GURTINS, SALTMILLS, NEW ROSS",Wexford,,"€147,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2021,"10 WALLACE RD, WALKINSTOWN, DUBLIN 12",Dublin,D12F2X0,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2021,"1 ARD BAN, MUFF, CO DONEGAL",Donegal,F93C665,"€149,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2021,"1 Clonbern, Castleknock Road, Castleknock",Dublin,,"€361,233.00",No,Yes,New Dwelling house /Apartment,
19/05/2021,"KILMORE COTTAGE, KILMORE AVENUE, LECARROW",Roscommon,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2021,"52 BALLYBRIT COURT, BALLYBRIT, GALWAY",Galway,H91FC1X,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2021,"174 MULLAGHMATT, MONAGHAN",Monaghan,H18VX31,"€108,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2021,"15 KILWARDEN COURT, CLONDALKIN, DUBLIN 22",Dublin,D22TD30,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2021,"3 Frederick Avenue, Crawford Gate, Blackrock",Cork,,"€286,342.00",No,Yes,New Dwelling house /Apartment,
01/04/2021,"3 WHITETHORN ROAD, CLONSKEAGH, DUBLIN 14",Dublin,,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2021,"CAHER, CHURCHTOWN, MALLOW",Cork,P51HW2P,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2021,"13 ROSBEG COURT, DUBLIN RD, SUTTON DUBLIN 13",Dublin,D13F9K7,"€432,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2021,"SHEEHAUN, CURRAGHROE, COUNTY ROSCOMMON",Roscommon,,"€13,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2021,"10 CONEY PARK, CONEYBORO ATHY, KILDARE",Kildare,R14CX90,"€145,438.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2021,"30 THE DRIVE, EARL'S COURT, KILL",Kildare,W91KV2A,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2021,"AVOCA HOLLYBROOK, BUNNASILLAGH, CAHERLISTRANE",Galway,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/06/2021,"NO. 15 THE WELLNESS CENTRE, GORTUMULLEN, KENMARE",Kerry,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2021,"14 ROCKSHIRE MEWS, ROCKSHIRE RD, FERRYBANK",Kilkenny,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2021,"17 ASHWOOD RD, CLONDALKIN, DUBLIN 22",Dublin,D22X827,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2021,"8 The Lawns, Bellingsfield, Kilcullen Road",Kildare,,"€78,400.00",Yes,Yes,New Dwelling house /Apartment,
11/05/2021,"33 CAMAC PARK, BLUEBELL, DUBLIN 12",Dublin,D12XY56,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/02/2021,"BISHOPHILL, BALLYMORE EUSTACE, COUNTY KILDARE",Kildare,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2021,"4 RUSHBROOKE MANOR, COBH, CORK",Cork,P24P265,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2021,"LADYWELL, LAMBSTOWN LANE, FETHARD ON SEA",Wexford,V34PV32,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2021,"ROSSAVEAL, CONNEMARA, CO. GALWAY",Galway,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2021,"TOOLOOBAUN TEMPLE, KILTULLAGH, ATHENRY",Galway,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2021,"7 GOLDEN RIDGE WALK, SKERRIES ROAD, RUSH",Dublin,K56YY98,"€303,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2021,"50 Linnenfield Crescent, Ballymackenny Road, Drogheda",Louth,,"€254,633.00",No,Yes,New Dwelling house /Apartment,
22/01/2021,"BUNGALOW IN FRONT OF CASTLE, CLOUGHEAST, CARNE",Wexford,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2021,"13 WHITWORTH HALL, BRUNSWICK ST NORTH, DUBLIN",Dublin,D07CY27,"€238,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2021,"29 TERMON RD, BOYLE, ROSCOMMON",Roscommon,,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2021,"THE KERRIES EAST, TRALEE, KERRY",Kerry,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2021,"BRIDGE STREET, BOYLE, COUNTY ROSCOMMON",Roscommon,,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2021,"12 GLEBE WOOD, BALLIVOR, MEATH",Meath,C15P5P0,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2021,"APT 16 - VENETIAN HALL, HOWTH ROAD, DUBLIN 5",Dublin,D05Y868,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2021,"53 ABELARD SQUARE, PHOENIX PARK RACECOURSE, CASTLEKNOCK",Dublin,,"€418,502.20",No,No,Second-Hand Dwelling house /Apartment,
17/12/2021,"35 CNOC NA GREINE, GRANARD, LONGFORD",Longford,N39TV21,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2021,"40 BROOKFIELD, ARTANE, DUBLIN 5",Dublin,D05H9T1,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2021,"12 WIGEON ST, DROGHEDA, LOUTH",Louth,A92FXR0,"€164,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2021,"KNOCKMARK, DRUMREE, CO MEATH",Meath,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2021,"62 ABBEYVILLE, ARKLOW, CO WICKLOW",Wicklow,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2021,"TOORBOY DROMORE WEST, DROMORE WEST, SLIGO",Sligo,F26X344,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2021,"47 BELARMINE HEATH, STEPASIDE, DUBLIN",Dublin,D18V348,"€321,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2021,"APARTMENT 1, 19 BRIGHTON AVENUE, RATHGAR",Dublin,,"€857,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2021,"TIERACLEA, TARBERT, CO. KERRY",Kerry,,"€54,900.00",Yes,No,Second-Hand Dwelling house /Apartment,
16/07/2021,"80 WHATLEY HALL, ARCHERSWOOD, CLONEE DUBLIN 15",Dublin,D15EA46,"€253,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2021,"29 CHERRYWOOD GROVE, CLONDALKIN, DUBLIN 22",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2021,"5 BEECHGROVE, ROSBERCON, NEW ROSS",Wexford,Y34NN92,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2021,"3 TUSKAMORE AVE, ROSSLARE HARBOUR, WEXFORD",Wexford,Y35H6X5,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2021,"8 BAYNEFIELD, ENFIELD, CO MEATH",Meath,A83F688,"€95,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
18/10/2021,"120 FRENCHPARK, ORANMORE, CO GALWAY",Galway,H91VF70,"€182,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2021,"114 WINTER GARDEN, PEARSE ST, DUBLIN 2",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2021,"30 MANOR LAWN, WATERFORD",Waterford,X91E65H,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2021,"4 MITCHELL ST, LIMERICK, LIMERICK",Limerick,V94PW8R,"€264,496.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2021,"APT 55 BLOCK 1, THE TOLKA, PROSPECT HILL DUBLIN 11",Dublin,,"€223,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2021,"15 CASTLEVIEW, CASTLEISLAND, KERRY",Kerry,V92CX70,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2021,"MOUNT ALLEN, OCALLAGHANS MILLS, CLARE",Clare,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2021,"APT 128, THE RICHMOND, NORTH BRUNSWICK ST DUBLIN 7",Dublin,D07WY17,"€292,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2021,"18 THE FASNET, LANCASTER GATE, WESTERN RD",Cork,T12HD73,"€344,270.00",No,Yes,New Dwelling house /Apartment,
10/12/2021,"RED GABLES, CASEYS RD, OVENS",Cork,P31EE35,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2021,"32 AYLSBURY DOWNS, BALLINCOLLIG, CORK",Cork,P31VX09,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2021,"BLOCK 10 APT 7, PRIORY HALL, HOLE IN THE WALL ROAD",Dublin,,"€264,317.18",No,Yes,New Dwelling house /Apartment,
18/06/2021,"1 CHAPLAINS ROW, ROWLAGH VILLAGE, CLONDALKIN",Dublin,D22X6X9,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2021,"BALLINGLY, WELLINGTONBRIDGE, WEXFORD",Wexford,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2021,"6 FORGE HILL, ELPHIN ST, STROKESTOWN",Roscommon,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2021,"68 BELLEFIELD RD, ENNISCORTHY, WEXFORD",Wexford,Y21T8W6,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2021,"22 REUBEN AVE, RIALTO, DUBLIN 8",Dublin,D08X5C9,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2021,"14 PARKLANDS, NORTHWOOD, SANTRY",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2021,"COOLDUFF, KILMURRAY, LISSARDA",Cork,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2021,"SAMPHYS HOUSE, BALLYREDDIN, BENNETTSBRIDGE",Kilkenny,R95F67C,"€252,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2021,"22 CARLTON VILLAS, YOUGHAL, CORK",Cork,P36NY77,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2021,"GARNAFULLA, WATERVILLE, CO. KERRY",Kerry,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2021,"34 PORTERSGATE AVENUE, CLONSILLA, DUBLIN15",Dublin,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
